,Area,Year,Item,Element Code,Unit,value
221,Africa,1961-01-01,Oil palm fruit,5312,ha,3444970.0
222,Africa,1961-01-01,Oil palm fruit,5419,hg/ha,33432.0
223,Africa,1961-01-01,Oil palm fruit,5510,tonnes,11517127.0
616,Africa,1962-01-01,Oil palm fruit,5312,ha,3237470.0
617,Africa,1962-01-01,Oil palm fruit,5419,hg/ha,34050.0
618,Africa,1962-01-01,Oil palm fruit,5510,tonnes,11023448.0
1011,Africa,1963-01-01,Oil palm fruit,5312,ha,3325700.0
1012,Africa,1963-01-01,Oil palm fruit,5419,hg/ha,33974.0
1013,Africa,1963-01-01,Oil palm fruit,5510,tonnes,11298880.0
1406,Africa,1964-01-01,Oil palm fruit,5312,ha,3333700.0
1407,Africa,1964-01-01,Oil palm fruit,5419,hg/ha,33669.0
1408,Africa,1964-01-01,Oil palm fruit,5510,tonnes,11224239.0
1801,Africa,1965-01-01,Oil palm fruit,5312,ha,3394650.0
1802,Africa,1965-01-01,Oil palm fruit,5419,hg/ha,33127.0
1803,Africa,1965-01-01,Oil palm fruit,5510,tonnes,11245500.0
2196,Africa,1966-01-01,Oil palm fruit,5312,ha,3286350.0
2197,Africa,1966-01-01,Oil palm fruit,5419,hg/ha,33003.0
2198,Africa,1966-01-01,Oil palm fruit,5510,tonnes,10845900.0
2591,Africa,1967-01-01,Oil palm fruit,5312,ha,2827170.0
2592,Africa,1967-01-01,Oil palm fruit,5419,hg/ha,35563.0
2593,Africa,1967-01-01,Oil palm fruit,5510,tonnes,10054375.0
2986,Africa,1968-01-01,Oil palm fruit,5312,ha,2886250.0
2987,Africa,1968-01-01,Oil palm fruit,5419,hg/ha,36081.0
2988,Africa,1968-01-01,Oil palm fruit,5510,tonnes,10413967.0
3381,Africa,1969-01-01,Oil palm fruit,5312,ha,2989650.0
3382,Africa,1969-01-01,Oil palm fruit,5419,hg/ha,35710.0
3383,Africa,1969-01-01,Oil palm fruit,5510,tonnes,10676092.0
3776,Africa,1970-01-01,Oil palm fruit,5312,ha,2931900.0
3777,Africa,1970-01-01,Oil palm fruit,5419,hg/ha,36044.0
3778,Africa,1970-01-01,Oil palm fruit,5510,tonnes,10567645.0
4174,Africa,1971-01-01,Oil palm fruit,5312,ha,2933050.0
4175,Africa,1971-01-01,Oil palm fruit,5419,hg/ha,36149.0
4176,Africa,1971-01-01,Oil palm fruit,5510,tonnes,10602773.0
4573,Africa,1972-01-01,Oil palm fruit,5312,ha,2776410.0
4574,Africa,1972-01-01,Oil palm fruit,5419,hg/ha,37114.0
4575,Africa,1972-01-01,Oil palm fruit,5510,tonnes,10304501.0
4972,Africa,1973-01-01,Oil palm fruit,5312,ha,2786658.0
4973,Africa,1973-01-01,Oil palm fruit,5419,hg/ha,36963.0
4974,Africa,1973-01-01,Oil palm fruit,5510,tonnes,10300219.0
5371,Africa,1974-01-01,Oil palm fruit,5312,ha,2964202.0
5372,Africa,1974-01-01,Oil palm fruit,5419,hg/ha,37368.0
5373,Africa,1974-01-01,Oil palm fruit,5510,tonnes,11076563.0
5769,Africa,1975-01-01,Oil palm fruit,5312,ha,2918437.0
5770,Africa,1975-01-01,Oil palm fruit,5419,hg/ha,37814.0
5771,Africa,1975-01-01,Oil palm fruit,5510,tonnes,11035635.0
6168,Africa,1976-01-01,Oil palm fruit,5312,ha,2903133.0
6169,Africa,1976-01-01,Oil palm fruit,5419,hg/ha,37375.0
6170,Africa,1976-01-01,Oil palm fruit,5510,tonnes,10850500.0
6567,Africa,1977-01-01,Oil palm fruit,5312,ha,2948657.0
6568,Africa,1977-01-01,Oil palm fruit,5419,hg/ha,36169.0
6569,Africa,1977-01-01,Oil palm fruit,5510,tonnes,10664874.0
6966,Africa,1978-01-01,Oil palm fruit,5312,ha,2812362.0
6967,Africa,1978-01-01,Oil palm fruit,5419,hg/ha,37754.0
6968,Africa,1978-01-01,Oil palm fruit,5510,tonnes,10617807.0
7365,Africa,1979-01-01,Oil palm fruit,5312,ha,3150373.0
7366,Africa,1979-01-01,Oil palm fruit,5419,hg/ha,35969.0
7367,Africa,1979-01-01,Oil palm fruit,5510,tonnes,11331519.0
7764,Africa,1980-01-01,Oil palm fruit,5312,ha,3145234.0
7765,Africa,1980-01-01,Oil palm fruit,5419,hg/ha,36644.0
7766,Africa,1980-01-01,Oil palm fruit,5510,tonnes,11525360.0
8163,Africa,1981-01-01,Oil palm fruit,5312,ha,2841171.0
8164,Africa,1981-01-01,Oil palm fruit,5419,hg/ha,36893.0
8165,Africa,1981-01-01,Oil palm fruit,5510,tonnes,10481833.0
