,Area,Year,Item,Element Code,Unit,value
141,World,1961-01-01,Cranberries,5419,hg/ha,64614.0
145,World,1961-01-01,Cucumbers and gherkins,5419,hg/ha,94308.0
169,World,1961-01-01,"Ginger, raw",5419,hg/ha,19218.0
179,World,1961-01-01,Green garlic,5419,hg/ha,55764.0
268,World,1961-01-01,Oil palm fruit,5419,hg/ha,37658.0
339,World,1961-01-01,"Pumpkins, squash and gourds",5419,hg/ha,44705.0
355,World,1961-01-01,Rape or colza seed,5419,hg/ha,5728.0
408,World,1961-01-01,Spinach,5419,hg/ha,88804.0
464,World,1961-01-01,Watermelons,5419,hg/ha,91267.0
467,World,1961-01-01,Wheat,5419,hg/ha,10889.0
620,World,1962-01-01,Cranberries,5419,hg/ha,72108.0
624,World,1962-01-01,Cucumbers and gherkins,5419,hg/ha,91698.0
648,World,1962-01-01,"Ginger, raw",5419,hg/ha,21602.0
658,World,1962-01-01,Green garlic,5419,hg/ha,56581.0
747,World,1962-01-01,Oil palm fruit,5419,hg/ha,38702.0
818,World,1962-01-01,"Pumpkins, squash and gourds",5419,hg/ha,43123.0
834,World,1962-01-01,Rape or colza seed,5419,hg/ha,5875.0
887,World,1962-01-01,Spinach,5419,hg/ha,93904.0
943,World,1962-01-01,Watermelons,5419,hg/ha,95913.0
946,World,1962-01-01,Wheat,5419,hg/ha,12060.0
1099,World,1963-01-01,Cranberries,5419,hg/ha,69815.0
1103,World,1963-01-01,Cucumbers and gherkins,5419,hg/ha,94886.0
1127,World,1963-01-01,"Ginger, raw",5419,hg/ha,21027.0
1137,World,1963-01-01,Green garlic,5419,hg/ha,58149.0
1226,World,1963-01-01,Oil palm fruit,5419,hg/ha,38605.0
1297,World,1963-01-01,"Pumpkins, squash and gourds",5419,hg/ha,38102.0
1313,World,1963-01-01,Rape or colza seed,5419,hg/ha,5361.0
1366,World,1963-01-01,Spinach,5419,hg/ha,99805.0
1422,World,1963-01-01,Watermelons,5419,hg/ha,97503.0
1425,World,1963-01-01,Wheat,5419,hg/ha,11320.0
1578,World,1964-01-01,Cranberries,5419,hg/ha,71912.0
1582,World,1964-01-01,Cucumbers and gherkins,5419,hg/ha,96698.0
1606,World,1964-01-01,"Ginger, raw",5419,hg/ha,20718.0
1616,World,1964-01-01,Green garlic,5419,hg/ha,56794.0
1705,World,1964-01-01,Oil palm fruit,5419,hg/ha,38379.0
1776,World,1964-01-01,"Pumpkins, squash and gourds",5419,hg/ha,37637.0
1792,World,1964-01-01,Rape or colza seed,5419,hg/ha,5659.0
1845,World,1964-01-01,Spinach,5419,hg/ha,100388.0
1901,World,1964-01-01,Watermelons,5419,hg/ha,100630.0
1904,World,1964-01-01,Wheat,5419,hg/ha,12413.0
2057,World,1965-01-01,Cranberries,5419,hg/ha,77207.0
2061,World,1965-01-01,Cucumbers and gherkins,5419,hg/ha,97154.0
2085,World,1965-01-01,"Ginger, raw",5419,hg/ha,22900.0
2095,World,1965-01-01,Green garlic,5419,hg/ha,59392.0
2184,World,1965-01-01,Oil palm fruit,5419,hg/ha,38126.0
2255,World,1965-01-01,"Pumpkins, squash and gourds",5419,hg/ha,42838.0
2271,World,1965-01-01,Rape or colza seed,5419,hg/ha,7408.0
2324,World,1965-01-01,Spinach,5419,hg/ha,104113.0
2380,World,1965-01-01,Watermelons,5419,hg/ha,99156.0
2383,World,1965-01-01,Wheat,5419,hg/ha,12151.0
2536,World,1966-01-01,Cranberries,5419,hg/ha,84825.0
2540,World,1966-01-01,Cucumbers and gherkins,5419,hg/ha,102697.0
2564,World,1966-01-01,"Ginger, raw",5419,hg/ha,22002.0
2574,World,1966-01-01,Green garlic,5419,hg/ha,60702.0
2663,World,1966-01-01,Oil palm fruit,5419,hg/ha,38856.0
2734,World,1966-01-01,"Pumpkins, squash and gourds",5419,hg/ha,51218.0
2750,World,1966-01-01,Rape or colza seed,5419,hg/ha,6743.0
2803,World,1966-01-01,Spinach,5419,hg/ha,107155.0
2859,World,1966-01-01,Watermelons,5419,hg/ha,106461.0
2862,World,1966-01-01,Wheat,5419,hg/ha,14079.0
3015,World,1967-01-01,Cranberries,5419,hg/ha,74658.0
3019,World,1967-01-01,Cucumbers and gherkins,5419,hg/ha,105816.0
3043,World,1967-01-01,"Ginger, raw",5419,hg/ha,23340.0
3053,World,1967-01-01,Green garlic,5419,hg/ha,61438.0
3142,World,1967-01-01,Oil palm fruit,5419,hg/ha,42653.0
3213,World,1967-01-01,"Pumpkins, squash and gourds",5419,hg/ha,57090.0
