,decade,Area,Item,value
0,1960-01-01,Australia and New Zealand,Apples,461103.77777777775
1,1960-01-01,Australia and New Zealand,Apricots,45918.0
2,1960-01-01,Australia and New Zealand,Asparagus,7669.444444444444
3,1960-01-01,Australia and New Zealand,Avocados,577.7777777777778
4,1960-01-01,Australia and New Zealand,Bananas,125922.77777777778
5,1960-01-01,Australia and New Zealand,Barley,1295255.0
6,1960-01-01,Australia and New Zealand,"Beans, dry",1015.4444444444445
7,1960-01-01,Australia and New Zealand,"Broad beans and horse beans, dry",222.0
8,1960-01-01,Australia and New Zealand,"Broad beans and horse beans, green",1368.888888888889
9,1960-01-01,Australia and New Zealand,Cabbages,98170.66666666667
10,1960-01-01,Australia and New Zealand,Canary seed,7899.777777777777
11,1960-01-01,Australia and New Zealand,Carrots and turnips,92800.66666666667
12,1960-01-01,Australia and New Zealand,Cauliflowers and broccoli,104960.44444444444
13,1960-01-01,Australia and New Zealand,Cereals n.e.c.,7222.222222222223
14,1960-01-01,Australia and New Zealand,Cherries,7900.111111111111
15,1960-01-01,Australia and New Zealand,Coconut oil,21520.11888888889
16,1960-01-01,Australia and New Zealand,"Corn, all",212667.0
17,1960-01-01,Australia and New Zealand,"Cotton lint, ginned",12100.0
18,1960-01-01,Australia and New Zealand,Cotton seed,24055.555555555555
19,1960-01-01,Australia and New Zealand,Cottonseed oil,3596.897777777778
20,1960-01-01,Australia and New Zealand,Cucumbers and gherkins,11365.111111111111
21,1960-01-01,Australia and New Zealand,Currants,1315.7777777777778
22,1960-01-01,Australia and New Zealand,Figs,612.0
23,1960-01-01,Australia and New Zealand,"Flax, processed but not spun",311.55555555555554
24,1960-01-01,Australia and New Zealand,Gooseberries,468.0
25,1960-01-01,Australia and New Zealand,Grapes,618704.0
26,1960-01-01,Australia and New Zealand,Green garlic,105.55555555555556
27,1960-01-01,Australia and New Zealand,Groundnut oil,729.5522222222222
28,1960-01-01,Australia and New Zealand,"Groundnuts, excluding shelled",22914.777777777777
29,1960-01-01,Australia and New Zealand,Hop cones,2046.0
30,1960-01-01,Australia and New Zealand,Lemons and limes,22200.666666666668
31,1960-01-01,Australia and New Zealand,Lettuce and chicory,39052.11111111111
32,1960-01-01,Australia and New Zealand,Linseed,30284.88888888889
33,1960-01-01,Australia and New Zealand,Lupins,711.8888888888889
34,1960-01-01,Australia and New Zealand,"Mangoes, guavas and mangosteens",959.8888888888889
35,1960-01-01,Australia and New Zealand,Margarine and shortening,18822.28888888889
36,1960-01-01,Australia and New Zealand,Millet,26743.444444444445
37,1960-01-01,Australia and New Zealand,Molasses,414239.23555555556
38,1960-01-01,Australia and New Zealand,Mushrooms and truffles,637.2222222222222
39,1960-01-01,Australia and New Zealand,Mustard seed,283.44444444444446
40,1960-01-01,Australia and New Zealand,Natural honey,23507.333333333332
41,1960-01-01,Australia and New Zealand,Oats,1312888.7777777778
42,1960-01-01,Australia and New Zealand,Oil of linseed,9913.7
43,1960-01-01,Australia and New Zealand,Oil of maize,471.25
44,1960-01-01,Australia and New Zealand,Oil of sesame seed,91.2625
45,1960-01-01,Australia and New Zealand,Olive oil,132.87
46,1960-01-01,Australia and New Zealand,Olives,1476.3333333333333
47,1960-01-01,Australia and New Zealand,"Onions and shallots, dry (excluding dehydrated)",67856.88888888889
48,1960-01-01,Australia and New Zealand,"Onions and shallots, green",24956.875
49,1960-01-01,Australia and New Zealand,Oranges,211148.44444444444
50,1960-01-01,Australia and New Zealand,Papayas,6041.555555555556
51,1960-01-01,Australia and New Zealand,Peaches and nectarines,114087.77777777778
52,1960-01-01,Australia and New Zealand,Pears,147184.77777777778
53,1960-01-01,Australia and New Zealand,"Peas, dry",50899.0
