,Area,Year,Item,Element Code,Unit,value
501607,South-eastern Asia,1961-01-01,"Abaca, manila hemp, raw",5312,ha,185436.0
501610,South-eastern Asia,1961-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2600.0
501613,South-eastern Asia,1961-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
501616,South-eastern Asia,1961-01-01,Areca nuts,5312,ha,82331.0
501620,South-eastern Asia,1961-01-01,Avocados,5312,ha,9500.0
501623,South-eastern Asia,1961-01-01,Bananas,5312,ha,525064.0
501626,South-eastern Asia,1961-01-01,"Beans, dry",5312,ha,758672.0
501633,South-eastern Asia,1961-01-01,"Broad beans and horse beans, green",5312,ha,30.0
501638,South-eastern Asia,1961-01-01,Cabbages,5312,ha,40500.0
501641,South-eastern Asia,1961-01-01,Canary seed,5312,ha,1000.0
501644,South-eastern Asia,1961-01-01,Carrots and turnips,5312,ha,600.0
501647,South-eastern Asia,1961-01-01,"Cashew nuts, in shell",5312,ha,3500.0
501650,South-eastern Asia,1961-01-01,"Cassava, fresh",5312,ha,1822127.0
501653,South-eastern Asia,1961-01-01,Castor oil seeds,5312,ha,51160.0
501658,South-eastern Asia,1961-01-01,Cauliflowers and broccoli,5312,ha,3088.0
501661,South-eastern Asia,1961-01-01,Cereals n.e.c.,5312,ha,33600.0
501665,South-eastern Asia,1961-01-01,"Chick peas, dry",5312,ha,110223.0
501669,South-eastern Asia,1961-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",5312,ha,79960.0
501672,South-eastern Asia,1961-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",5312,ha,49520.0
501675,South-eastern Asia,1961-01-01,"Cinnamon and cinnamon-tree flowers, raw",5312,ha,19000.0
501678,South-eastern Asia,1961-01-01,"Cloves (whole stems), raw",5312,ha,20200.0
501681,South-eastern Asia,1961-01-01,Cocoa beans,5312,ha,17180.0
501685,South-eastern Asia,1961-01-01,"Coconuts, in shell",5312,ha,2805001.0
501688,South-eastern Asia,1961-01-01,"Coffee, green",5312,ha,257062.0
501692,South-eastern Asia,1961-01-01,"Corn, all",5312,ha,5327578.0
501698,South-eastern Asia,1961-01-01,"Cow peas, dry",5312,ha,22995.0
501702,South-eastern Asia,1961-01-01,Cucumbers and gherkins,5312,ha,23493.0
501706,South-eastern Asia,1961-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",5312,ha,201204.0
501710,South-eastern Asia,1961-01-01,"Ginger, raw",5312,ha,3450.0
501714,South-eastern Asia,1961-01-01,Grapes,5312,ha,100.0
501717,South-eastern Asia,1961-01-01,Green garlic,5312,ha,27114.0
501721,South-eastern Asia,1961-01-01,"Groundnuts, excluding shelled",5312,ha,1015082.0
501728,South-eastern Asia,1961-01-01,"Jute, raw or retted",5312,ha,25436.0
501732,South-eastern Asia,1961-01-01,Kapok fruit,5312,ha,154665.0
501736,South-eastern Asia,1961-01-01,Lemons and limes,5312,ha,12253.0
501739,South-eastern Asia,1961-01-01,"Lentils, dry",5312,ha,1538.0
501742,South-eastern Asia,1961-01-01,Lettuce and chicory,5312,ha,10.0
501745,South-eastern Asia,1961-01-01,"Mangoes, guavas and mangosteens",5312,ha,156950.0
501749,South-eastern Asia,1961-01-01,Millet,5312,ha,140000.0
501755,South-eastern Asia,1961-01-01,Mustard seed,5312,ha,2792.0
501761,South-eastern Asia,1961-01-01,"Nutmeg, mace, cardamoms, raw",5312,ha,11300.0
501767,South-eastern Asia,1961-01-01,Oil palm fruit,5312,ha,114402.0
501770,South-eastern Asia,1961-01-01,"Onions and shallots, dry (excluding dehydrated)",5312,ha,101152.0
501773,South-eastern Asia,1961-01-01,"Onions and shallots, green",5312,ha,2332.0
501776,South-eastern Asia,1961-01-01,Oranges,5312,ha,40880.0
501781,South-eastern Asia,1961-01-01,Papayas,5312,ha,38520.0
501784,South-eastern Asia,1961-01-01,"Peas, dry",5312,ha,13783.0
501787,South-eastern Asia,1961-01-01,"Peas, green",5312,ha,6100.0
501790,South-eastern Asia,1961-01-01,"Pepper (Piper spp.), raw",5312,ha,23715.0
501794,South-eastern Asia,1961-01-01,"Pigeon peas, dry",5312,ha,83765.0
501797,South-eastern Asia,1961-01-01,Pineapples,5312,ha,133600.0
501800,South-eastern Asia,1961-01-01,Plantains and cooking bananas,5312,ha,24281.0
501803,South-eastern Asia,1961-01-01,Pomelos and grapefruits,5312,ha,14690.0
501806,South-eastern Asia,1961-01-01,Potatoes,5312,ha,35929.0
501810,South-eastern Asia,1961-01-01,"Pumpkins, squash and gourds",5312,ha,11100.0
501813,South-eastern Asia,1961-01-01,"Ramie, raw or retted",5312,ha,2300.0
501829,South-eastern Asia,1961-01-01,Rice,5312,ha,28483615.0
501832,South-eastern Asia,1961-01-01,"Seed cotton, unginned",5312,ha,237028.0
501835,South-eastern Asia,1961-01-01,Sesame seed,5312,ha,451072.0
501842,South-eastern Asia,1961-01-01,"Sisal, raw",5312,ha,6800.0
501845,South-eastern Asia,1961-01-01,Sorghum,5312,ha,8200.0
501849,South-eastern Asia,1961-01-01,Soya beans,5312,ha,705925.0
501852,South-eastern Asia,1961-01-01,Sugar cane,5312,ha,452608.0
501855,South-eastern Asia,1961-01-01,Sunflower seed,5312,ha,300.0
501859,South-eastern Asia,1961-01-01,Sweet potatoes,5312,ha,773957.0
501864,South-eastern Asia,1961-01-01,"Tangerines, mandarins, clementines",5312,ha,26850.0
501867,South-eastern Asia,1961-01-01,Taro,5312,ha,27790.0
501870,South-eastern Asia,1961-01-01,Tea leaves,5312,ha,177621.0
501873,South-eastern Asia,1961-01-01,Tomatoes,5312,ha,22450.0
501877,South-eastern Asia,1961-01-01,Unmanufactured tobacco,5312,ha,420911.0
501880,South-eastern Asia,1961-01-01,"Vanilla, raw",5312,ha,800.0
501883,South-eastern Asia,1961-01-01,Watermelons,5312,ha,25940.0
501886,South-eastern Asia,1961-01-01,Wheat,5312,ha,24156.0
501889,South-eastern Asia,1961-01-01,Yams,5312,ha,7000.0
501893,South-eastern Asia,1962-01-01,"Abaca, manila hemp, raw",5312,ha,184421.0
501896,South-eastern Asia,1962-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2990.0
501899,South-eastern Asia,1962-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
501902,South-eastern Asia,1962-01-01,Areca nuts,5312,ha,79727.0
501906,South-eastern Asia,1962-01-01,Avocados,5312,ha,9500.0
501909,South-eastern Asia,1962-01-01,Bananas,5312,ha,522869.0
501912,South-eastern Asia,1962-01-01,"Beans, dry",5312,ha,771658.0
501919,South-eastern Asia,1962-01-01,"Broad beans and horse beans, green",5312,ha,30.0
501924,South-eastern Asia,1962-01-01,Cabbages,5312,ha,44080.0
501927,South-eastern Asia,1962-01-01,Canary seed,5312,ha,1000.0
501930,South-eastern Asia,1962-01-01,Carrots and turnips,5312,ha,650.0
501933,South-eastern Asia,1962-01-01,"Cashew nuts, in shell",5312,ha,9000.0
501936,South-eastern Asia,1962-01-01,"Cassava, fresh",5312,ha,1852620.0
501939,South-eastern Asia,1962-01-01,Castor oil seeds,5312,ha,60433.0
501944,South-eastern Asia,1962-01-01,Cauliflowers and broccoli,5312,ha,4880.0
501947,South-eastern Asia,1962-01-01,Cereals n.e.c.,5312,ha,31600.0
501951,South-eastern Asia,1962-01-01,"Chick peas, dry",5312,ha,105943.0
501955,South-eastern Asia,1962-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",5312,ha,99550.0
501958,South-eastern Asia,1962-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",5312,ha,49580.0
501961,South-eastern Asia,1962-01-01,"Cinnamon and cinnamon-tree flowers, raw",5312,ha,23000.0
501964,South-eastern Asia,1962-01-01,"Cloves (whole stems), raw",5312,ha,20130.0
501967,South-eastern Asia,1962-01-01,Cocoa beans,5312,ha,18565.0
501971,South-eastern Asia,1962-01-01,"Coconuts, in shell",5312,ha,2906384.0
501974,South-eastern Asia,1962-01-01,"Coffee, green",5312,ha,279847.0
501978,South-eastern Asia,1962-01-01,"Corn, all",5312,ha,6081079.0
501984,South-eastern Asia,1962-01-01,"Cow peas, dry",5312,ha,25663.0
501988,South-eastern Asia,1962-01-01,Cucumbers and gherkins,5312,ha,24485.0
501992,South-eastern Asia,1962-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",5312,ha,200984.0
501996,South-eastern Asia,1962-01-01,"Ginger, raw",5312,ha,4600.0
502000,South-eastern Asia,1962-01-01,Grapes,5312,ha,100.0
502003,South-eastern Asia,1962-01-01,Green garlic,5312,ha,34670.0
502007,South-eastern Asia,1962-01-01,"Groundnuts, excluding shelled",5312,ha,1087046.0
502014,South-eastern Asia,1962-01-01,"Jute, raw or retted",5312,ha,27395.0
502018,South-eastern Asia,1962-01-01,Kapok fruit,5312,ha,143640.0
502022,South-eastern Asia,1962-01-01,Lemons and limes,5312,ha,12323.0
502025,South-eastern Asia,1962-01-01,"Lentils, dry",5312,ha,1114.0
502028,South-eastern Asia,1962-01-01,Lettuce and chicory,5312,ha,10.0
502031,South-eastern Asia,1962-01-01,"Mangoes, guavas and mangosteens",5312,ha,158250.0
502035,South-eastern Asia,1962-01-01,Millet,5312,ha,153798.0
502041,South-eastern Asia,1962-01-01,Mustard seed,5312,ha,2347.0
502047,South-eastern Asia,1962-01-01,"Nutmeg, mace, cardamoms, raw",5312,ha,12500.0
502053,South-eastern Asia,1962-01-01,Oil palm fruit,5312,ha,117275.0
502056,South-eastern Asia,1962-01-01,"Onions and shallots, dry (excluding dehydrated)",5312,ha,116269.0
502059,South-eastern Asia,1962-01-01,"Onions and shallots, green",5312,ha,2428.0
502062,South-eastern Asia,1962-01-01,Oranges,5312,ha,44330.0
502067,South-eastern Asia,1962-01-01,Papayas,5312,ha,39740.0
502070,South-eastern Asia,1962-01-01,"Peas, dry",5312,ha,11014.0
502073,South-eastern Asia,1962-01-01,"Peas, green",5312,ha,6200.0
502076,South-eastern Asia,1962-01-01,"Pepper (Piper spp.), raw",5312,ha,42765.0
502080,South-eastern Asia,1962-01-01,"Pigeon peas, dry",5312,ha,57776.0
502083,South-eastern Asia,1962-01-01,Pineapples,5312,ha,114920.0
502086,South-eastern Asia,1962-01-01,Plantains and cooking bananas,5312,ha,26305.0
502089,South-eastern Asia,1962-01-01,Pomelos and grapefruits,5312,ha,14740.0
502092,South-eastern Asia,1962-01-01,Potatoes,5312,ha,39361.0
502096,South-eastern Asia,1962-01-01,"Pumpkins, squash and gourds",5312,ha,13000.0
502099,South-eastern Asia,1962-01-01,"Ramie, raw or retted",5312,ha,2840.0
502115,South-eastern Asia,1962-01-01,Rice,5312,ha,29959234.0
