,Area,Year,Item,Element Code,Unit,value
501607,South-eastern Asia,1961-01-01,"Abaca, manila hemp, raw",5312,ha,185436.0
501610,South-eastern Asia,1961-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2600.0
501613,South-eastern Asia,1961-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
501616,South-eastern Asia,1961-01-01,Areca nuts,5312,ha,82331.0
501620,South-eastern Asia,1961-01-01,Avocados,5312,ha,9500.0
501623,South-eastern Asia,1961-01-01,Bananas,5312,ha,525064.0
501626,South-eastern Asia,1961-01-01,"Beans, dry",5312,ha,758672.0
501633,South-eastern Asia,1961-01-01,"Broad beans and horse beans, green",5312,ha,30.0
501638,South-eastern Asia,1961-01-01,Cabbages,5312,ha,40500.0
501641,South-eastern Asia,1961-01-01,Canary seed,5312,ha,1000.0
501893,South-eastern Asia,1962-01-01,"Abaca, manila hemp, raw",5312,ha,184421.0
501896,South-eastern Asia,1962-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2990.0
501899,South-eastern Asia,1962-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
501902,South-eastern Asia,1962-01-01,Areca nuts,5312,ha,79727.0
501906,South-eastern Asia,1962-01-01,Avocados,5312,ha,9500.0
501909,South-eastern Asia,1962-01-01,Bananas,5312,ha,522869.0
501912,South-eastern Asia,1962-01-01,"Beans, dry",5312,ha,771658.0
501919,South-eastern Asia,1962-01-01,"Broad beans and horse beans, green",5312,ha,30.0
501924,South-eastern Asia,1962-01-01,Cabbages,5312,ha,44080.0
501927,South-eastern Asia,1962-01-01,Canary seed,5312,ha,1000.0
502179,South-eastern Asia,1963-01-01,"Abaca, manila hemp, raw",5312,ha,213623.0
502182,South-eastern Asia,1963-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2910.0
502185,South-eastern Asia,1963-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
502188,South-eastern Asia,1963-01-01,Areca nuts,5312,ha,83045.0
502192,South-eastern Asia,1963-01-01,Avocados,5312,ha,9500.0
502195,South-eastern Asia,1963-01-01,Bananas,5312,ha,527285.0
502198,South-eastern Asia,1963-01-01,"Beans, dry",5312,ha,916150.0
502205,South-eastern Asia,1963-01-01,"Broad beans and horse beans, green",5312,ha,30.0
502210,South-eastern Asia,1963-01-01,Cabbages,5312,ha,47500.0
502213,South-eastern Asia,1963-01-01,Canary seed,5312,ha,1000.0
502465,South-eastern Asia,1964-01-01,"Abaca, manila hemp, raw",5312,ha,201854.0
502468,South-eastern Asia,1964-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2520.0
502471,South-eastern Asia,1964-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
502474,South-eastern Asia,1964-01-01,Areca nuts,5312,ha,90688.0
502478,South-eastern Asia,1964-01-01,Avocados,5312,ha,10300.0
502481,South-eastern Asia,1964-01-01,Bananas,5312,ha,556671.0
502484,South-eastern Asia,1964-01-01,"Beans, dry",5312,ha,940990.0
502491,South-eastern Asia,1964-01-01,"Broad beans and horse beans, green",5312,ha,30.0
502496,South-eastern Asia,1964-01-01,Cabbages,5312,ha,47800.0
502499,South-eastern Asia,1964-01-01,Canary seed,5312,ha,1000.0
502751,South-eastern Asia,1965-01-01,"Abaca, manila hemp, raw",5312,ha,200829.0
502754,South-eastern Asia,1965-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2720.0
502757,South-eastern Asia,1965-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
502760,South-eastern Asia,1965-01-01,Areca nuts,5312,ha,95235.0
502764,South-eastern Asia,1965-01-01,Avocados,5312,ha,10300.0
502767,South-eastern Asia,1965-01-01,Bananas,5312,ha,612885.0
502770,South-eastern Asia,1965-01-01,"Beans, dry",5312,ha,933840.0
502777,South-eastern Asia,1965-01-01,"Broad beans and horse beans, green",5312,ha,30.0
502782,South-eastern Asia,1965-01-01,Cabbages,5312,ha,44910.0
502785,South-eastern Asia,1965-01-01,Canary seed,5312,ha,1000.0
503037,South-eastern Asia,1966-01-01,"Abaca, manila hemp, raw",5312,ha,200698.0
503040,South-eastern Asia,1966-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3010.0
503043,South-eastern Asia,1966-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
503046,South-eastern Asia,1966-01-01,Areca nuts,5312,ha,94735.0
503050,South-eastern Asia,1966-01-01,Avocados,5312,ha,11000.0
503053,South-eastern Asia,1966-01-01,Bananas,5312,ha,620583.0
503056,South-eastern Asia,1966-01-01,"Beans, dry",5312,ha,958110.0
503063,South-eastern Asia,1966-01-01,"Broad beans and horse beans, green",5312,ha,30.0
503068,South-eastern Asia,1966-01-01,Cabbages,5312,ha,43810.0
503071,South-eastern Asia,1966-01-01,Canary seed,5312,ha,1000.0
503323,South-eastern Asia,1967-01-01,"Abaca, manila hemp, raw",5312,ha,188623.0
503326,South-eastern Asia,1967-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3040.0
503329,South-eastern Asia,1967-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
503332,South-eastern Asia,1967-01-01,Areca nuts,5312,ha,96044.0
503336,South-eastern Asia,1967-01-01,Avocados,5312,ha,11000.0
503339,South-eastern Asia,1967-01-01,Bananas,5312,ha,612453.0
503342,South-eastern Asia,1967-01-01,"Beans, dry",5312,ha,977000.0
503349,South-eastern Asia,1967-01-01,"Broad beans and horse beans, green",5312,ha,30.0
503354,South-eastern Asia,1967-01-01,Cabbages,5312,ha,42640.0
503357,South-eastern Asia,1967-01-01,Canary seed,5312,ha,1000.0
503609,South-eastern Asia,1968-01-01,"Abaca, manila hemp, raw",5312,ha,172224.0
503612,South-eastern Asia,1968-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2950.0
503615,South-eastern Asia,1968-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
503618,South-eastern Asia,1968-01-01,Areca nuts,5312,ha,94853.0
503622,South-eastern Asia,1968-01-01,Avocados,5312,ha,11000.0
503625,South-eastern Asia,1968-01-01,Bananas,5312,ha,606547.0
503628,South-eastern Asia,1968-01-01,"Beans, dry",5312,ha,944325.0
503635,South-eastern Asia,1968-01-01,"Broad beans and horse beans, green",5312,ha,30.0
503640,South-eastern Asia,1968-01-01,Cabbages,5312,ha,42593.0
503643,South-eastern Asia,1968-01-01,Canary seed,5312,ha,1000.0
503895,South-eastern Asia,1969-01-01,"Abaca, manila hemp, raw",5312,ha,175060.0
503898,South-eastern Asia,1969-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2800.0
503901,South-eastern Asia,1969-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
503904,South-eastern Asia,1969-01-01,Areca nuts,5312,ha,100567.0
503908,South-eastern Asia,1969-01-01,Avocados,5312,ha,10500.0
503911,South-eastern Asia,1969-01-01,Bananas,5312,ha,680553.0
503914,South-eastern Asia,1969-01-01,"Beans, dry",5312,ha,962320.0
503921,South-eastern Asia,1969-01-01,"Broad beans and horse beans, green",5312,ha,30.0
503926,South-eastern Asia,1969-01-01,Cabbages,5312,ha,44040.0
503929,South-eastern Asia,1969-01-01,Canary seed,5312,ha,1000.0
504181,South-eastern Asia,1970-01-01,"Abaca, manila hemp, raw",5312,ha,173402.0
504184,South-eastern Asia,1970-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2790.0
504187,South-eastern Asia,1970-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
504190,South-eastern Asia,1970-01-01,Areca nuts,5312,ha,100877.0
504194,South-eastern Asia,1970-01-01,Avocados,5312,ha,11000.0
504197,South-eastern Asia,1970-01-01,Bananas,5312,ha,707062.0
504200,South-eastern Asia,1970-01-01,"Beans, dry",5312,ha,959060.0
504207,South-eastern Asia,1970-01-01,"Broad beans and horse beans, green",5312,ha,30.0
504212,South-eastern Asia,1970-01-01,Cabbages,5312,ha,44840.0
504215,South-eastern Asia,1970-01-01,Canary seed,5312,ha,1000.0
504467,South-eastern Asia,1971-01-01,"Abaca, manila hemp, raw",5312,ha,155732.0
504470,South-eastern Asia,1971-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2730.0
504473,South-eastern Asia,1971-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
504476,South-eastern Asia,1971-01-01,Areca nuts,5312,ha,102186.0
504480,South-eastern Asia,1971-01-01,Avocados,5312,ha,9000.0
504483,South-eastern Asia,1971-01-01,Bananas,5312,ha,715679.0
504486,South-eastern Asia,1971-01-01,"Beans, dry",5312,ha,900800.0
504493,South-eastern Asia,1971-01-01,"Broad beans and horse beans, green",5312,ha,35.0
504498,South-eastern Asia,1971-01-01,Cabbages,5312,ha,47080.0
504501,South-eastern Asia,1971-01-01,Canary seed,5312,ha,2000.0
504753,South-eastern Asia,1972-01-01,"Abaca, manila hemp, raw",5312,ha,145502.0
504756,South-eastern Asia,1972-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2560.0
504759,South-eastern Asia,1972-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
504762,South-eastern Asia,1972-01-01,Areca nuts,5312,ha,102891.0
504766,South-eastern Asia,1972-01-01,Avocados,5312,ha,11350.0
504769,South-eastern Asia,1972-01-01,Bananas,5312,ha,834763.0
504772,South-eastern Asia,1972-01-01,"Beans, dry",5312,ha,1027150.0
504779,South-eastern Asia,1972-01-01,"Broad beans and horse beans, green",5312,ha,35.0
504784,South-eastern Asia,1972-01-01,Cabbages,5312,ha,51120.0
504787,South-eastern Asia,1972-01-01,Canary seed,5312,ha,2000.0
505039,South-eastern Asia,1973-01-01,"Abaca, manila hemp, raw",5312,ha,163600.0
505042,South-eastern Asia,1973-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2560.0
505045,South-eastern Asia,1973-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
505048,South-eastern Asia,1973-01-01,Areca nuts,5312,ha,108495.0
505052,South-eastern Asia,1973-01-01,Avocados,5312,ha,12530.0
505055,South-eastern Asia,1973-01-01,Bananas,5312,ha,857184.0
505058,South-eastern Asia,1973-01-01,"Beans, dry",5312,ha,1089280.0
505065,South-eastern Asia,1973-01-01,"Broad beans and horse beans, green",5312,ha,35.0
505070,South-eastern Asia,1973-01-01,Cabbages,5312,ha,46708.0
505073,South-eastern Asia,1973-01-01,Canary seed,5312,ha,2000.0
